#{"t_start": 1766644727.1364343, "env_id": "None"}
r,l,t
4.1316495,7,2143.162102
1.3249537,1,2143.426106
2.8955178,3,2143.42644
2.5796287,1,2143.42663
2.973379,3,2155.997116
2.6240504,4,2155.997706
2.9800851,6,2158.30878
3.9133246,6,2169.888204
3.8997712,6,2169.888525
3.749555,4,2171.437354
3.8230343,13,2189.2169
3.6172261,4,2189.217241
3.9661822,6,2189.669108
3.3054233,6,2192.570273
3.5733209,3,2196.108315
3.3616836,5,2196.108648
2.3186562,2,2196.108799
4.2344317,6,2200.657247
2.1412263,1,2203.383476
3.6919997,3,2206.56311
3.7965283,2,2210.114799
4.189271,5,2210.509086
3.207329,4,2211.720819
-0.19945872,1,2212.421689
3.583564,5,2217.383805
4.188851,7,2217.384142
1.387726,1,2217.384336
1.8788307,1,2217.755292
3.3115537,4,2228.34433
2.9823842,14,2228.344726
-0.005,1,2229.263976
3.023784,1,2229.264293
3.7179275,4,2229.26459
3.103182,1,2234.08672
2.9018595,2,2236.563058
3.5113788,2,2237.875422
0.24889748,1,2237.875775
3.5107555,4,2239.84289
0.5197918,1,2239.843222
2.864147,2,2245.404555
2.8590238,4,2251.613901
3.1897771,6,2255.503203
4.375068,5,2255.503505
4.057072,15,2255.503629
1.5656449,2,2255.503707
3.3574638,2,2259.318887
2.6591246,2,2259.319196
4.0793233,6,2268.913018
4.359289,5,2273.731278
2.6218646,7,2273.73181
4.0582027,6,2279.312441
3.0438814,1,2279.312816
1.2116475,1,2279.582916
2.1999066,1,2280.719168
3.586607,5,2283.079479
2.937317,3,2283.080926
3.637494,6,2288.433582
3.173789,4,2288.975443
4.0102453,6,2292.244513
-0.20889415,1,2292.244891
3.9482074,6,2300.275911
1.7319487,1,2300.276254
2.7671254,1,2300.276418
0.4952946,1,2305.002179
3.826817,2,2309.454463
3.5806513,8,2310.869595
4.086715,4,2310.869945
4.228325,6,2313.540936
2.651372,3,2313.543007
3.4980924,2,2321.476306
3.9405086,3,2324.56729
4.1347113,8,2325.750906
3.7741377,7,2327.220243
4.2494817,9,2327.220515
2.18331,2,2333.970667
3.2515738,4,2338.54811
1.7834299,2,2338.548696
3.452962,2,2338.548888
1.7280922,1,2340.461209
3.4650056,2,2340.461587
2.5808227,1,2340.461838
3.4429147,3,2354.845688
4.015751,5,2366.25806
3.3851779,5,2366.258408
3.6695192,3,2367.418226
2.739242,7,2367.418549
1.085628,2,2367.709582
1.1427501,1,2370.836885
3.4603508,3,2372.085776
2.7703078,3,2380.512692
3.9625683,7,2389.396031
0.46934932,1,2396.200886
3.8395903,6,2396.420664
2.969751,1,2396.421052
0.506221,1,2397.688113
0.2336946,2,2397.896915
0.5193799,1,2400.771896
0.13901065,1,2404.22421
2.877813,2,2408.494293
0.17399547,1,2409.934941
3.3237388,11,2409.935305
4.1275783,7,2411.216221
2.7260406,2,2411.47095
1.6446667,1,2414.299611
3.5550706,8,2430.46506
3.7706473,7,2430.465432
3.4651186,6,2431.975496
0.6907147,1,2434.496082
2.9051714,3,2435.223632
4.065306,30,2436.736313
2.672298,3,2436.73666
3.7876022,4,2438.526734
2.1205027,3,2438.96588
3.6327581,3,2438.966172
2.634808,1,2441.997808
1.9978466,2,2441.998166
2.0227282,2,2442.284125
0.0028524662,1,2443.954368
3.0340803,3,2444.285027
2.383619,1,2444.285336
3.3840215,3,2444.285509
4.066717,3,2455.60348
3.5175955,15,2455.603868
0.77685905,1,2455.752759
3.2250204,4,2455.753081
3.7241926,5,2458.373067
0.36616057,1,2458.373396
3.60792,2,2458.373577
